id,title,difficulty,portion,time,description,ingredients0,ingredients1,ingredients2,ingredients3,ingredients4,ingredients5,ingredients6,ingredients7,ingredients8,ingredients9,ingredients10,ingredients11,ingredients12,image,Step1,Step2,Step3,Step4,Step5,Step6
1,Nutella and cognac coffee cocktail,Easy,Makes 4,"Hands-on time 10 min, plus 2 hours freezing","An Irish coffee amped up to eleven – this utterly delicious cocktail involves croissant-infused cognac and a Nutella syrup to bolster the coffee and whipped cream. Sounds very fancy, but actually very simple.","80g croissant, chopped",240ml cognac,50g Nutella,25g demerara sugar,200ml hot coffee,200g double cream to serve,Toasted coconut flakes to serve,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/1.jpg,"Put the croissant and cognac in a blender or food processor and whizz until smooth. Transfer to a freezable container, cover and freeze for at least 2 hours. Strain through a very fine sieve (or for an even clearer finish, through coffee filter paper) and reserve.","Put the Nutella, sugar and 25ml water in a small saucepan and gently warm until the sugar has dissolved. Leave to cool.","To make the cocktail, measure out 50ml croissant cognac and 25ml nutella syrup in each glass, then top up with 50ml hot coffee in each, stirring to combine. Put a spoon over the top of the coffee and gently pour double cream onto it (it should float on the surface of the coffee). Garnish with toasted coconut flakes.",,,
2,Easy rhubarb cordial,Easy,Makes approx. 300ml (enough to serve 10),"Hands-on time 10 min, plus 2-3 days infusing. Simmering time 2 hours","This homemade rhubarb cordial highlights both the sweet and vegetal flavours of rhubarb. It’s a nice light, bright and spritzy drink that should go well with just about everything as it’s not too sweet. Follow our serving suggestion to make a simple rhubarb cocktail.","500g rhubarb, cut into 1cm slices",200g granulated sugar,300ml non-alcoholic spirit (Roberta uses Feragaia) or gin to serve (optional),Soda water to serve,Rhubarb ribbons to serve (optional),,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/2.jpg,"Put 300g of the rhubarb in a container and freeze. Put the remaining rhubarb in a jar or container with the sugar and 100ml water, giving it a good stir, then cover and put in the fridge for 2-3 days – it’s a long time to wait, but this will allow the sugar to dissolve and the rhubarb’s colour and flavour to infuse into the liquid.","After 2-3 days, put the frozen rhubarb in a metal bowl. Cover tightly with foil, then set it over a pan of simmering water. Leave the rhubarb to defrost and then cook like this for 2 hours – the freezing process breaks down the cells in the rhubarb which then allows the juice to leach out of it once heated.","Strain the juice from the frozen and cooked rhubarb into a sterilised jar or bottle, then strain the syrupy liquid from the other rhubarb into it, mixing the two liquids together. Keep in the fridge for up to a week. To serve, mix 30ml of the rhubarb cordial with 30ml of non-alcoholic spirit or gin, then top with soda water. Garnish with a ribbon of rhubarb (if you like).",,,
3,Bottled chocolate orange negroni,Easy,Makes 840ml (enough for 8 cocktails),Hands-on time 10 min,"Bottle up chocolate-orange negronis to make fabulous homemade gifts. The flavours mingle and mellow in the bottle, making for a seriously smooth sip.",300ml dry gin (we used Tanqueray),225ml sweet red vermouth (we used Punt e Mes),225ml Campari,75ml crème de cacao or chocolate liqueur (we used Mozart Dark Chocolate Liqueur),8 dashes Angostura orange bitters (optional but recommended),Pared zest 1 orange,Clean glass bottles,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/3.jpg,"Measure out and pour all the ingredients (except the orange zest) into a large jug and give them a good mix. Put a strip of orange zest in each bottle then, using a funnel, begin filling them up. Give the cocktail a good stir right before you fill each bottle to ensure each one is getting an even mix of the ingredients.","Seal and label the bottles. The negroni is best served in a glass full of ice, stirred for about 20 seconds, then garnished with a twist of orange peel or a thin slice of fresh orange. You can also grate a little dark chocolate over the top for added chocolate-orange goodness.",,,,
4,Pickled bramble martini,Easy,Serves 1,"Hands on time 5 min, plus pickling time.","This pickled bramble martini is a hedgerow treat. Quick pickle blackberries in wine vinegar, then add a little of the liquor to a martini for a taste of autumn.",10 blackberries,1 tsp caster sugar,1 tsp salt,4 tbsp white wine vinegar,Dash of dry vermouth,60ml gin,Thyme sprig (to serve),Martini glass or coupe,,,,,,https://apipics.s3.amazonaws.com/coctails_api/4.jpg,"Put the blackberries in a small bowl. In another small bowl, combine the caster sugar, salt and white wine vinegar, then pour it over the fruit. Leave for at least 15 minutes.","Fill a cocktail shaker with ice, add a dash of dry vermouth, stir, then drain away almost all the liquid (or leave it in if you prefer your martini ‘wet’). Pour in the gin, stir well, then strain into a martini glass or coupe.","Add 1 tbsp of the pickling liquid, then garnish with one of the pickled blackberries and a thyme sprig.",,,
5,Toasted marshmallow hot-buttered rum,Easy,Serves 1,Hands-on time 5 min,Add a touch of Bonfire Night theatre to hot-buttered rum with a smouldering marshmallow garnish. Just remember to blow it out before you take a sip!,60ml dark rum,1 marshmallow,"1 tbsp unsalted butter, softened",1 tbsp light brown sugar,A pinch ground cinnamon,A pinch ground ginger,¼ tsp vanilla extract,1 tsp caster sugar,,,,,,https://apipics.s3.amazonaws.com/coctails_api/5.jpg,"Pour the rum in a shallow bowl and sit  the marshmallow in it, rolling it around to coat. In a heatproof glass mug, add the softened butter,  light brown sugar, a pinch each of ground cinnamon and ginger and the vanilla extract. Mix together, then tip in the rum.","Top up with hot water, stir, then sprinkle the marshmallow with the caster sugar. Thread it onto a skewer and set it alight with a blowtorch or over a firepit to toast.",,,,
6,Sangria,Easy,Serves 6-8,Hands-on time 15 min,"Transport yourself to Spain with our ultimate sangria – perfect for enjoying on long summer days and well into the evenings. Our version pairs a fruity red wine with oranges, brandy and a touch of sparkling water.","1 lemon, sliced","1 orange, sliced",100ml brandy,300ml orange juice,750ml red wine (we like rioja),50g caster sugar (optional),300ml sparkling water,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/6.jpg,"Put the lemon and orange slices in a large jug. Add the brandy, orange juice and wine. You can also add sugar if you prefer it a little sweeter. Stir together, cover and chill for 1 hour – this helps all the flavours mingle.","When ready to serve, add plenty of ice to the jug then top with sparkling water.",,,,
7,Umibozu yuzu cocktail,Easy,Serves 1,Hands-on time 5 min,"The key to this zingy yuzu and gin cocktail is a superb sake spiked with the Japanese citrus fruit yuzu. Perfect for summer sipping, this cocktail recipe is from Holly Bennetts at The Greenbank Hotel in Falmouth, Cornwall.",50ml gin,35ml Akashi-Tai Ginjo Yuzushu sake (see tips),2 tsp ginger syrup (from a jar of stem ginger),2 tsp marmalade,1 egg white (or use a vegan cocktail foamer),Dried edible flower petals,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/7.jpg,"Fill a shaker with ice, then add the gin, Yuzushu sake,  ginger syrup and marmalade. Add 1 egg white (or use a vegan cocktail foamer) then shake well. Strain into a jug, tip the ice out of the shaker, then return to the shaker and shake again (for a silkier texture).","Strain into a chilled coupe glass, then garnish with dried edible flower petals or a twist of lemon – and a bit of origami if you’re feeling creative!",,,,
8,Strawberry collins,Easy,Serves 1,20 minutes,"We love using mezcal in cocktails, and this strawberry collins from Los Mochis restaurant in London pairs it with grapefruit soda and lime juice for a zingy and refreshing mix. A perfect use of on-the-turn strawberries.",225g strawberries,225ml of water,100g sugar,50ml mezcal espadin,20ml strawberry syrup (from above),"30ml lime juice, plus a wedge to rub around the glass",Grapefruit soda to top up,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/8.jpg,"Rinse the strawberries under cold running water, then pick off the green tops. Slice and put in a medium saucepan with the water.","Bring the water to the boil, then reduce to a medium simmer and let the strawberries cook for 15 minutes. Skim and discard any foam that rises to the top.","Strain the strawberry liquid through a fine sieve into another clean saucepan (discard the strawberries). Add the sugar then bring back to the boil, stirring to help dissolve the sugar. Simmer the syrup for 5 minutes until the sugar is completely dissolved, skimming any additional foam that rises to the top.","Remove from the heat and allow to cool completely. Pour into a container, seal and refrigerate.","To make the cocktail, rub a lime wedge around the rim of a highball (collins) glass, then dip in salt. Fill the glass a third of the way up with ice then pour over the mezcal, lime juice and strawberry syrup. Give it a stir and top up with grapefruit soda.",
9,Limoncello spritz,Easy,Makes 1,Hands-on time 5 min,"Limoncello spritz is a zippy, lemony livener from Salvi’s in Manchester. Mix limoncello, Prosecco and soda over ice for a seriously summery cocktail.",Ice,75ml limoncello,"125ml prosecco,","Soda water, a dash","1 lemon, long strip of peel only (ideally sorrento lemon if you can get one)",,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/9.jpg,"Fill a large glass to the top with ice. Add the  limoncello and prosecco, then add a dash of soda water. Cut a long strip of peel from a lemon (ideally sorrento if you can get one), twist it over the drink to release its oils, then add as a garnish.",,,,,
10,Ginger mango mule,Medium,1,"Hands-on time, 10 minutes","This fruity mango mule cocktail is perfect for the warmer months. Mango season runs from April to August, and when the ripe fruits make it to the UK from South Asia, there’s reason to celebrate. So ripe they literally drip juice when cut open, these are a totally different thing to the larger, firmer kind available year round in supermarkets.","40g fresh ginger, peeled",25ml lime juice,50ml vodka,10ml simple sugar syrup 10ml (we used Monin or see Tips),2 mangoes,3 dashes of angostura bitters,"Ginger beer, to top up","Dried mango or dried lime slice, to garnish (optional)",,,,,,https://apipics.s3.amazonaws.com/coctails_api/10.jpg,Make the mango purée by chopping up 2 whole mangoes and blending to make a smooth paste. Strain the paste to filter out any fibres.,Make the ginger extract by finely grating the ginger and then transferring to a small strainer. Press with a spoon to extract 25ml ginger juice.,Add 30ml of the mango purée and all the other ingredients (except ginger beer) in a shaker with ice and shake well. Fill a highball with ice cubes. Double strain and pour the drink from the shaker into the highball glass.,Pour in ginger beer to top up the drink. Garnish with a piece of dried mango or a dehydrated lime slice.,,
